candle_end_time,open,high,low,close,amount,info,ÅÅÃû,±ê×¼»¯³É½»Á¿,µ±ÈÕ³Ö²ÖÕÇµø·ù,µ±ÈÕ¿ª²ÖÕÇµø·ù,µ±ÈÕÆ½²ÖÕÇµø·ù,×Ê½ðÇúÏß,signal,pos,×´Ì¬,×îÖÕÕÇµø·ù
2007-01-04,2073.25,2139.49,2054.24,2067.09,106720000.0,,41.0,1.0,0.0,-0.0030908096165321833,,1.0,,,,
2007-01-05,2051.15,2083.4,2030.76,2072.88,92743400.0,,40.0,0.95,0.0028010391419821534,0.010472800256388233,-0.0078303982893827,1.0028010391419822,,,,
2007-01-08,2072.0,2131.74,2071.72,2131.56,84767900.0,,39.0,0.9,0.028308440430705017,0.02862173913647745,-0.0005444791787272418,1.031188772622382,,,,
2007-01-09,2137.49,2201.36,2128.06,2200.09,81577600.0,,38.0,0.85,0.03215016232243051,0.02916318713888483,0.002661666197526724,1.0643416590472596,,,,
2007-01-10,2210.76,2255.97,2194.77,2255.97,84905000.0,,39.0,0.9,0.025398960951597216,0.020327541697004597,0.00472921962283368,1.0913748312845593,,,,
2007-01-11,2257.01,2289.95,2224.37,2231.63,86276500.0,,39.0,0.9,-0.010789150564945338,-0.011363602052442842,0.0003409437182233521,1.0795998239070383,,,,
2007-01-12,2215.86,2249.54,2159.77,2173.75,76525700.0,,33.0,0.6,-0.02593619910110556,-0.019121613595514085,-0.007185735628217893,1.051599107924667,,,,
2007-01-15,2170.94,2287.68,2170.94,2287.34,66403100.0,,28.0,0.35,0.05225531914893633,0.053490908147504894,-0.0014125418286371483,1.1065507549260072,,,,
2007-01-16,2310.96,2354.43,2297.24,2353.87,76364300.0,,32.0,0.55,0.02908618744917657,0.018445827487996697,0.010205166175557556,1.138736097605813,,,,
2007-01-17,2360.41,2393.22,2266.34,2308.93,89015500.0,,39.0,0.9,-0.01909196344742914,-0.02192713907981975,0.0026580698169398342,1.1169953896540545,,,,
2007-01-18,2292.17,2325.53,2240.21,2317.09,78648600.0,,32.0,0.55,0.003534104541930816,0.010750503916416566,-0.007377902491630284,1.1209429681339467,,,,
2007-01-19,2320.87,2396.09,2320.87,2396.09,83334000.0,,35.0,0.7,0.03409448920844671,0.03228638557935444,0.001511160809463341,1.159160946064274,,,,
2007-01-22,2424.81,2491.71,2424.81,2491.31,93893000.0,,40.0,0.95,0.039739742664090194,0.02730155297551533,0.01186475583137514,1.2052257037671315,,,,
2007-01-23,2508.26,2516.59,2415.11,2508.13,102338000.0,,40.0,0.95,0.0067514681031264345,-0.0001718081408074144,0.0066828330476738085,1.2133627466631836,,,,
2007-01-24,2508.52,2556.1,2489.93,2536.43,84433700.0,,33.0,0.6,0.011283306686654893,0.01100476174007368,3.547567311090738e-05,1.227053490655946,,,,
2007-01-25,2512.46,2529.43,2449.05,2452.83,81055200.0,,29.0,0.4,-0.03295971108999651,-0.023850849081571892,-0.009569156333902318,1.1866101621119545,,,,
2007-01-26,2415.75,2524.24,2356.98,2512.92,78654000.0,,27.0,0.30000000000000004,0.024498232653710206,0.04009872121771961,-0.015235417864262857,1.2156800139326298,,,,
2007-01-29,2529.94,2582.41,2521.5,2576.92,85452100.0,,35.0,0.7,0.02546837941518243,0.018447396658891453,0.006652184391066962,1.2466414137749202,,,,
