,_id_rank,timestamp_rank,代码_rank,日期_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,收盘timestamp_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,SMA2开盘比值_rank,SMA20开盘比值_rank,SMA3开盘比值_rank,SMA30开盘比值_rank,SMA4开盘比值_rank,SMA40开盘比值_rank,SMA5开盘比值_rank,SMA50开盘比值_rank,SMA6开盘比值_rank,SMA60开盘比值_rank,SMA7开盘比值_rank,SMA70开盘比值_rank,SMA8开盘比值_rank,SMA80开盘比值_rank,SMA9开盘比值_rank,SMA90开盘比值_rank
"(0.0, 0.02)",-0.0005782489457075107,,-0.0001420368015166746,,-3.454915183702189e-05,-3.454915183702189e-05,-3.454915183702189e-05,-3.454915183702189e-05,-0.00047030834857317836,,-0.00025218012318867873,-0.0003300769134117714,-0.0005023457416271913,-0.0002970733038708605,-0.00010588543076867758,-0.0007024829819054345,-0.00046031812355732136,-0.00023489286587198,-0.0004796914432662272,0.0016885932881272234,0.0017288767460656466,-0.0005058798004719035,-0.00047037426348271375,-0.0004822676225296186,-0.00034593622600879667,-0.0004607106811414216,-0.0002655958550080758,-0.0004627530933509711,-0.00024807371991181443,-0.00045973481159123866,-0.0001869285602825382,-0.0005007653316907333,-0.0001346054412155328,-0.00048518519481736326,-7.29125858150298e-05,-0.00047472240598651607,-4.8897145413732673e-05
"(0.02, 0.04)",-0.00014348076092293775,,-4.503495577775424e-05,,-2.0749349162025306e-05,-2.0749349162025306e-05,-2.0749349162025306e-05,-2.0749349162025306e-05,-0.00010812054929362461,,-0.00019642084726913196,-0.00020625023733922103,-0.00015499954067813067,-0.00025235772188559203,-9.6053864356054e-05,-0.00040088797699622367,-0.0002289856763361248,-0.00019365230447711908,-0.00023479347348658386,0.002099160214088827,0.0013082340403090273,-0.00017801133374619415,-0.0002936857257169054,-0.000217118448678307,-0.0003435030905039127,-0.000247266438217088,-0.0003102185588433028,-0.0002511711288722317,-0.00025546757547841503,-0.00029692300294482965,-0.0002759279816759461,-0.00027843224166119687,-0.000297106795209859,-0.0002880820447346869,-0.0002748744888478209,-0.00031725513009725123,-0.0002146243457697585
"(0.04, 0.06)",-0.0002727904345413569,,-3.639859181952559e-05,,-1.9615008596810026e-05,-1.9615008596810026e-05,-1.9615008596810026e-05,-1.9615008596810026e-05,-0.00017244830920866685,,-0.00019324891561072965,-0.00015397510441253517,-0.00015994653052688488,-0.00019612553543340246,-7.162582760612779e-05,-0.00028269383364408154,-0.00016675106056592362,-0.0002000619001644357,-0.00014475361609419442,0.0013048250496850633,0.0010543431095431678,-0.00017226024151845647,-0.0002924005962627656,-0.00019910591047648908,-0.0002123761600624594,-0.00021371024546996435,-0.00022568886065687952,-0.0001805497565430839,-0.00027913020737299935,-0.00019839640117029605,-0.0002487948932204366,-0.00021226999184474418,-0.00019656065291149394,-0.00022606406112224973,-0.0001432784322739866,-0.00024540751310749107,-0.00013292112635955255
"(0.06, 0.08)",-0.0002365747167261094,,-9.378620443636919e-05,,-4.161963424017214e-05,-4.154802766149328e-05,-4.154802766149328e-05,-4.154802766149328e-05,-0.00015271688021787014,,-0.00013264165016713619,-0.000145280011935103,-0.00019241374258344946,-0.00015770551579390494,-0.00013104663275945814,-0.00023963399528569758,-0.000131614216085075,-0.00014547024301557406,-0.00012203088225340081,0.0013446785801183084,0.0010298570000630122,-0.00015642482718456561,-0.00020083958300286695,-0.00014899134377600737,-0.00017267646395156054,-0.00013916646320535312,-0.00017638631911576477,-0.00018812856271642798,-0.0001461366882163469,-0.00016754809209910162,-0.00012501096618694756,-0.00014534281550212638,-0.0001208525652980712,-0.00020485894861124477,-0.00012760106638618832,-0.00020320994786045027,-0.00012487857903759975
"(0.08, 0.1)",-0.00020069483871857098,,-3.296930264300144e-05,,-8.19982786781935e-05,-8.208832027581405e-05,-8.208832027581405e-05,-8.208832027581405e-05,-0.00010093578642090838,,-0.00015502672858597254,-0.00017136656551875292,-0.00015280036020132377,-0.0001563066001069994,-0.00015703434031574543,-0.000208234013601121,-0.00013482064595291644,-0.00015331279481989882,-0.00014547529602266566,0.0011508802845552487,0.0007193149840495889,-0.00016246404091017192,-0.00012384440458218884,-0.00017441236542839312,-0.00019067753395029483,-0.0001693621744957574,-0.00013923720314286094,-0.0001610311513745987,-0.00015508265656304296,-0.00015083010905646665,-0.00011577147418376708,-0.00016003035516894663,-5.3915695409522774e-05,-0.00015655050465858576,-8.895146853473031e-05,-0.00017107332222698494,-8.327922515610902e-05
"(0.1, 0.12)",-0.00011238266550066167,,9.053309038309982e-06,,-0.0001439657303065601,-0.0001439657303065601,-0.0001439657303065601,-0.0001439657303065601,-0.00013225966813933568,,-0.00010928393665395143,-0.00011486167049509538,-0.00010869114082421377,-0.00015579530885352313,-9.935921789074399e-05,-0.00021705926506408672,-9.510426964183051e-05,-0.00011858413961391663,-0.00014944150907875836,0.0011958642938973024,0.0006294611742295418,-0.0001372402228246751,-0.00013707426755794268,-0.00011707547860719184,-0.00012464382725656717,-9.234050562303789e-05,-0.00012489393310393944,-0.0001345342489347059,-9.740542097909142e-05,-0.00013824631984091305,-0.0001115894349606189,-0.00012822739359250282,-0.00010348978979557367,-0.00012764095993095858,-9.941166726542968e-05,-0.00012609092985736494,-0.00010106431074155645
"(0.12, 0.14)",-0.00015783633743635955,,-2.5406098173996066e-05,,-6.304322968937e-05,-6.298071591145667e-05,-6.285660759639987e-05,-6.298071591145667e-05,-0.00011151307388027245,,-0.00015705283392926584,-0.00011721594730748232,-0.00015492529469178634,-0.0001454657122302301,-0.00013832580549206003,-0.00020489809180637128,-0.0001671202866275681,-0.00015297260080064892,-0.00015362226678394185,0.0009052915971066175,0.0004544150493009597,-0.00011574921497751382,-0.00012934904604218714,-0.0001305998387802954,-0.0001306909246482839,-0.00012738553225379864,-0.00017931926845831043,-0.0001296110632926196,-0.00012551739451401478,-0.0001295907638754131,-8.409633414360928e-05,-0.00017114088288371437,-8.398479473235877e-05,-0.00016767477842145642,-0.00014255060496625666,-0.00013784111210031762,-0.00012431242344571874
"(0.14, 0.16)",-0.0001764169198262396,,-6.05314266971136e-05,,-0.00012372878276550777,-0.00012376407101618426,-0.00012445637128999997,-0.00012466234653576218,-0.00012076928179336735,,-0.00013856278797431097,-0.00011335664623243392,-0.00010024691932168158,-0.00013607204248356795,-0.00010871237025757689,-0.0001628961747179841,-0.00015325755299759966,-0.00013911337820737068,-0.00010851569816059277,0.0008486298361063817,0.0004379472720997307,-9.940323497586553e-05,-0.00013870124248571927,-0.00010934599961995363,-0.00010881280147329412,-0.0001157235737878412,-0.00015266349935244672,-0.00011749648356082206,-0.0001221524616371484,-0.0001409292707625312,-0.00011274431590670762,-0.00012588500025603616,-6.510031508011537e-05,-0.0001262639881991768,-9.391342964920519e-05,-8.497964773310629e-05,-9.716216682099422e-05
"(0.16, 0.18)",-0.00021021593189679048,,-0.0002461858893849636,,-0.00020082005596958595,-0.0001973791612692932,-0.00020799692671751935,-0.00020143364644970084,-0.00014326409532710685,,-9.687755983430035e-05,-0.00012663611914060898,-0.00011398245602565347,-0.00011828012531843105,-5.662821148471531e-05,-0.00016309764798765945,-0.00014346923023717822,-0.00010504910840632565,-8.64101216709115e-05,0.0008656855489040068,0.00029899441823648566,-0.00012260112467114682,-0.0001377794102398749,-9.435098632042448e-05,-0.00014789404815580622,-0.00012090959279792454,-6.353020269442076e-05,-0.00011578455726902505,-8.990026240468578e-05,-8.872063561687338e-05,-3.3022452015949454e-05,-0.00010407585527698149,-8.708179399918114e-05,-8.074872727650762e-05,-5.067472477940811e-05,-0.00010728321462834873,-4.2481764090266436e-05
"(0.18, 0.2)",-0.00013773324450878552,,-2.874664125704476e-05,,-5.186160952929647e-07,-2.9243676112119063e-06,3.125947667801992e-06,4.137002158652918e-07,-0.0001225410704828442,,-0.00016777768510525514,-0.00012570210995734916,-0.00018835938939931239,-0.0001412247856626637,-0.00010279852451962916,-0.0001746498043403416,-0.00017226024657169636,-0.0001502842553700505,-8.705581712931565e-05,0.0007196866270972125,0.00020899335775321186,-0.00011540167100358768,-0.0001255978025424582,-0.00013400060110155084,-0.0001105059164151085,-0.00017007561910108534,-0.00011111561552471511,-0.00012409301602080714,-7.969957761012246e-05,-0.00013616693274695783,-6.403240638926442e-05,-0.00013128925055224457,-4.2366729244987476e-05,-9.974552745810321e-05,-4.575455968559632e-05,-0.00012003926649614868,-7.532060612011134e-05
"(0.2, 0.22)",-0.00013516174171574477,,-3.667224239820214e-05,,-7.255044885518956e-05,-7.172040938338034e-05,-7.124855098853336e-05,-7.239148975752499e-05,-9.133809147524747e-05,,-0.00012816518635921158,-0.0001099295686899322,-0.00012973600027302513,-0.00012010345884848293,-4.264642845734822e-05,-0.0001759820748445276,-0.00013129463181359242,-0.00011925594201298253,-0.00012429112924962615,0.0006493960454980505,0.00029855922557050325,-8.154445557231885e-05,-9.896252850580816e-05,-0.00012737807536677463,-8.027365522334712e-05,-0.00012023871728161322,-8.323092237509491e-05,-0.00010910172036844256,-5.8925486409926676e-05,-9.079328274480908e-05,-0.00010554847164510574,-8.694378884177342e-05,-5.9170840495150276e-05,-0.00010156390319233165,-8.91150205084051e-05,-9.715083813499938e-05,-7.366259009094983e-05
"(0.22, 0.24)",-0.00013223206929228039,,-0.00013911152783455566,,-5.971360573907074e-05,-5.59426907947598e-05,-6.399250752810238e-05,-5.902598867523912e-05,-0.00016600923883443755,,-0.00013615663663457399,-9.97803546394913e-05,-0.00016688812527962296,-0.00011996298315596418,-8.444847844777545e-05,-0.00017017889482792632,-0.00011623568065979251,-0.0001470776552276485,-9.236722087495299e-05,0.0003954064359834973,0.00013939977828693383,-0.00011822368894447442,-9.672801490247186e-05,-8.485133366629864e-05,-0.00012476894316274003,-0.0001134298587702012,-7.31119251291787e-05,-0.00012165241670623913,-0.0001397196996945615,-0.00011138779936878497,-0.00011767384352728915,-0.0001096519443499667,-9.261373984144942e-05,-9.26726445720783e-05,-8.54161425689023e-05,-0.00014278217378442935,-9.784272942113371e-05
"(0.24, 0.26)",-0.00019742563407391608,,-0.00010359410318879064,,-0.00013962657100771313,-0.00014263665573798257,-0.00013738183272446803,-0.00014011027128426208,-0.00015380461273761255,,-0.00014995188376509,-0.0001559679236742382,-0.00015624506921146434,-0.00016726287324360397,-0.00015062090906428087,-0.00013805496452129286,-0.0001805128711347601,-0.0001420327108055521,-0.00012685728232730874,0.0003712928957188799,0.00011930226474065493,-0.000103294480432521,-0.00012462982774279942,-0.00010441649072649668,-0.00010979495001708074,-0.00012796767896696275,-9.484496309818883e-05,-0.0001032075527131143,-0.00011362501227268791,-0.00013621914433800637,-0.00012248646897970793,-0.0001563548985270044,-0.00014052136741358784,-0.00015623290191998452,-0.00015684777526872563,-0.0001390752089210251,-0.00012218647187616448
