,_id_rank,timestamp_rank,日期_rank,收盘timestamp_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日涨跌幅_rank,昨日成交额_rank,昨日资金贡献_rank,delta昨日资金贡献_rank,up昨日资金贡献_rank,down昨日资金贡献_rank,昨日资金波动_rank,delta昨日资金波动_rank,up昨日资金波动_rank,down昨日资金波动_rank,delta开盘_rank,up开盘_rank,down开盘_rank,SMA10开盘比值_rank,ma_up4周期开盘_rank,ma_down4周期开盘_rank,ma_up4周期昨日资金贡献_rank,ma_down4周期昨日资金贡献_rank,ma_up4周期昨日资金波动_rank,ma_down4周期昨日资金波动_rank,SMA15开盘比值_rank,ma_up6周期开盘_rank,ma_down6周期开盘_rank,ma_up6周期昨日资金贡献_rank,ma_down6周期昨日资金贡献_rank,ma_up6周期昨日资金波动_rank,ma_down6周期昨日资金波动_rank,SMA20开盘比值_rank,ma_up8周期开盘_rank,ma_down8周期开盘_rank,ma_up8周期昨日资金贡献_rank,ma_down8周期昨日资金贡献_rank,ma_up8周期昨日资金波动_rank,ma_down8周期昨日资金波动_rank,SMA25开盘比值_rank,ma_up10周期开盘_rank,ma_down10周期开盘_rank,ma_up10周期昨日资金贡献_rank,ma_down10周期昨日资金贡献_rank,ma_up10周期昨日资金波动_rank,ma_down10周期昨日资金波动_rank,SMA30开盘比值_rank,ma_up12周期开盘_rank,ma_down12周期开盘_rank,ma_up12周期昨日资金贡献_rank,ma_down12周期昨日资金贡献_rank,ma_up12周期昨日资金波动_rank,ma_down12周期昨日资金波动_rank
"(0.0, 0.041666666666666664)",-0.000216621,,,,-7.22E-05,-8.83E-05,-0.000218253,-9.09E-05,0.000131674,-0.000280996,-0.000168213,-0.00029575,-7.31E-05,2.57E-05,0.000101198,-0.00033976,0.000196635,,0.002868198,0.002868198,0.000249786,-0.000114816,-0.000114869,3.30E-05,-0.000236688,-1.76E-05,-3.32E-06,0.000281448,0.000191586,0.000304738,0.000113403,-0.000159141,-1.58E-05,-4.49E-06,0.000473801,0.000419455,0.000133415,-6.43E-05,-0.000128376,-1.18E-05,-8.69E-06,0.000806713,0.000774939,-0.000326609,-0.00030493,-0.000155375,-7.28E-06,-7.63E-06,0.000836889,0.001220623,-0.000331972,3.79E-05,-0.000121446,-6.82E-06,-5.95E-06,0.000976369,0.000985353,8.04E-06,-0.000101259
"(0.041666666666666664, 0.08333333333333333)",-1.02E-05,,,,-2.32E-05,-1.40E-07,-7.23E-05,-1.37E-05,5.07E-05,-7.62E-05,3.36E-05,-8.49E-05,-1.49E-05,0.000100481,0.000130228,0.000202891,-1.45E-05,0.004810262,0.001337885,0.001935776,0.000271801,-7.07E-05,-9.31E-05,4.81E-06,7.76E-05,-7.30E-05,-0.000124718,-0.000234418,-0.000655918,0.00013227,0.000117207,3.04E-05,-5.44E-05,-0.000112918,-0.000209732,-0.000561594,-2.40E-05,-0.000232742,-2.58E-05,-5.35E-05,-0.000100824,-8.48E-05,0.000138737,0.000521594,-6.28E-05,-3.88E-06,-7.17E-05,-9.35E-05,-8.29E-05,-0.000546072,-4.53E-05,-0.0004812,-2.53E-05,-5.03E-05,-7.47E-05,-0.000414618,-0.000430078,-0.000176921,-0.00023078
"(0.08333333333333333, 0.125)",4.82E-05,,,,7.53E-05,8.14E-05,-1.65E-05,7.33E-05,-7.55E-05,5.20E-06,0.000120839,7.19E-05,0.000157529,6.70E-05,3.82E-05,-0.000196019,2.62E-05,0.004489937,0.000549148,0.000575089,0.000568187,-0.000179968,-0.000206603,8.50E-05,-2.96E-05,9.90E-05,-2.20E-05,0.000458734,0.000672474,-0.00040224,-0.000186604,6.91E-05,5.75E-05,3.65E-06,-9.96E-05,5.63E-05,0.000407545,0.000426496,9.59E-06,7.03E-05,3.06E-05,-0.000727814,-0.000738627,-1.16E-05,-2.84E-05,2.07E-05,5.74E-05,-1.20E-05,-0.000334123,-0.000357546,0.000385286,0.000464037,3.69E-05,8.79E-06,-4.11E-05,-0.000671261,0.000116528,-0.00017557,0.000401054
"(0.125, 0.16666666666666666)",-9.72E-05,,,,0.000201084,0.00016978,1.96E-06,0.000231852,9.45E-05,2.92E-05,0.000112077,-2.39E-05,0.000414183,0.000166636,5.27E-05,-3.92E-05,-0.000218718,0.001502578,0.000471755,0.000298476,0.000475357,-7.08E-05,-0.00010783,0.000172057,7.13E-05,-4.44E-05,0.000143078,0.000384241,0.000485142,0.000543114,0.000491309,0.000129082,6.75E-05,2.94E-05,0.000314693,0.00090871,0.000298602,-0.000185106,4.78E-05,3.89E-05,7.36E-05,0.000276791,-0.000115526,0.00012281,0.000109913,-6.95E-06,2.54E-05,0.000129517,-0.000746645,-0.000630024,-0.000440209,0.000172484,8.78E-05,4.56E-05,0.000144713,0.000327066,-0.000374388,0.00066852,-7.64E-05
"(0.16666666666666666, 0.20833333333333331)",2.07E-05,,,,0.000252167,0.000171425,1.16E-05,0.000279053,2.76E-05,5.99E-05,6.23E-05,6.03E-05,0.000722577,2.22E-05,9.13E-05,5.64E-06,0.000158186,0.001531599,0.000167673,2.81E-05,-0.000139657,-5.93E-05,-8.58E-05,6.73E-05,5.97E-05,9.39E-05,0.000153426,-6.12E-05,8.47E-05,0.000712188,2.04E-05,1.89E-05,-3.30E-05,0.000106855,0.000593992,2.71E-05,5.53E-05,0.000457494,3.75E-05,3.51E-05,-5.35E-05,0.000863886,0.00066386,0.000368406,0.000604792,4.07E-05,9.02E-05,-0.000137539,0.000330731,0.000639314,0.000534307,0.000231092,2.80E-05,9.18E-05,-0.000113696,-0.000281813,-9.71E-06,0.000387586,-0.000134063
"(0.20833333333333331, 0.25)",0.000121461,,,,0.000347424,0.000249181,5.56E-05,0.000303862,-3.56E-05,-2.92E-05,7.39E-05,-2.35E-05,0.00077277,8.20E-07,1.78E-05,-0.000109785,-0.000140324,0.002639794,0.000244222,0.000418641,1.30E-05,-4.40E-05,-9.74E-05,0.000263987,0.000119482,-9.89E-05,-4.43E-05,0.000379542,0.000657983,0.000624305,-7.44E-06,-8.18E-06,-3.74E-05,-1.60E-05,0.000106966,0.000217407,0.000298632,0.00063345,-1.25E-05,-4.86E-05,-2.77E-05,0.000332345,0.000280508,0.000332722,0.000518398,-5.13E-05,-0.000113224,-5.08E-08,0.001043954,0.000375831,0.000897553,0.000455003,-9.64E-07,-6.82E-05,-3.85E-05,-8.53E-05,-0.000147896,0.0003686,0.000899947
"(0.25, 0.29166666666666663)",1.36E-05,,,,0.000422773,0.000438872,-2.99E-05,0.000394477,8.58E-05,8.62E-05,0.000114073,3.97E-05,0.000769034,5.37E-06,1.64E-05,-9.64E-06,-9.45E-05,0.001031335,3.06E-05,-7.74E-05,-0.000103714,-4.24E-06,-7.18E-05,0.000250906,0.000105559,5.69E-05,-3.90E-06,0.000356627,0.000591647,0.000514113,0.000441656,1.21E-06,2.72E-05,6.96E-05,0.000413064,0.000637597,0.000445683,2.69E-05,5.45E-05,-1.11E-05,5.71E-05,0.000173158,0.000324243,0.000739327,0.000562006,9.77E-05,-4.06E-05,1.78E-05,0.000478137,0.000803503,0.000626114,0.000448,5.31E-05,2.93E-05,8.92E-05,0.000973678,0.000309779,0.000674445,0.000544779
"(0.29166666666666663, 0.3333333333333333)",2.62E-05,,,,0.000570203,0.00046007,0.000137316,0.000682315,4.69E-05,9.91E-05,9.51E-05,0.000183545,0.000944266,9.04E-05,-2.81E-05,-3.05E-05,-0.00017332,0.001814704,9.73E-05,-3.30E-05,-7.78E-05,1.58E-05,-8.82E-05,0.000245568,1.09E-05,3.74E-05,0.000151047,0.000609326,0.000854881,4.12E-05,0.000313263,0.000114782,7.07E-05,-2.18E-05,0.000526913,0.000444634,0.000250772,-0.000201684,5.86E-05,6.58E-05,1.05E-05,0.000689436,0.000159555,-7.74E-05,9.80E-05,0.000112622,0.000110157,0.000101419,-0.000141106,5.93E-05,0.000598177,0.000569659,8.69E-05,1.21E-06,8.18E-05,0.000414467,0.000795388,0.000386938,0.000166218
"(0.3333333333333333, 0.375)",-6.47E-06,,,,0.000329801,0.00033983,9.36E-05,0.000289007,0.000136552,6.67E-05,0.000139884,5.11E-05,0.001250473,2.82E-05,6.38E-05,4.63E-05,-6.50E-05,0.002866709,-8.09E-05,-0.000100188,-5.19E-05,0.000136282,-7.42E-05,0.000256761,8.34E-05,5.77E-05,0.000171806,0.000917716,0.000875592,0.000484813,5.24E-05,-2.26E-05,8.54E-05,4.90E-05,0.000437389,0.000643751,0.000484755,0.000222548,1.54E-05,0.000131421,1.91E-05,0.000200435,0.000258852,0.000848855,4.29E-05,9.44E-05,0.000105026,8.27E-06,0.000617586,0.000590827,7.27E-05,0.000177594,6.23E-05,0.000104749,5.39E-05,6.96E-06,0.000127988,0.000340554,0.0004966
"(0.375, 0.41666666666666663)",0.000163001,,,,0.000707377,0.000659958,2.98E-05,0.000582054,0.000158236,7.50E-05,0.000104673,7.15E-05,0.002339263,-5.20E-05,-2.91E-05,-0.00012203,-6.18E-05,0.001487342,9.49E-06,-3.08E-05,2.80E-05,-2.20E-05,-9.14E-05,0.000210019,5.29E-05,6.07E-05,0.000211578,0.000321081,0.000623122,0.000969976,-7.87E-05,2.32E-05,0.000140783,0.000189659,0.000564559,0.00046047,0.000172844,0.000699458,2.21E-05,-5.55E-06,0.000113217,0.000407232,0.00045795,0.000203761,0.000829409,9.99E-06,0.00012065,0.000110976,0.000560595,0.000374437,0.000747853,0.00035049,0.000123674,7.98E-05,5.20E-05,0.000875981,0.000736282,0.000219443,-0.000271248
