,_id_rank,代码_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,SMA2开盘比值_rank,SMA20开盘比值_rank,SMA3开盘比值_rank,SMA30开盘比值_rank,SMA4开盘比值_rank,SMA40开盘比值_rank,SMA5开盘比值_rank,SMA50开盘比值_rank,SMA6开盘比值_rank,SMA60开盘比值_rank,SMA7开盘比值_rank,SMA70开盘比值_rank,SMA8开盘比值_rank,SMA80开盘比值_rank,SMA9开盘比值_rank,SMA90开盘比值_rank
"(0.0, 0.02)",-0.00496331,-0.000449611,0.00240672,0.002606352,0.002394086,0.002434478,-0.002281912,0.000982234,-6.49E-05,-0.002472793,0.000622109,0.002997181,-0.005395889,-0.005718205,0.000556929,-0.005198172,0.004433262,0.004149048,-0.005258128,0.0014259,-0.004282756,0.000216328,-0.005693173,-0.000540467,-0.00311417,-0.000103078,-0.001893108,-0.000512697,-0.00107465,-0.001445316,-0.000583005,-0.002154694,-0.000856473,-0.003104779
"(0.02, 0.04)",0.000955459,-0.00089125,-0.001075776,-0.00112885,-0.001069783,-0.00110687,-0.002565777,-0.004543035,-0.005224482,-0.00278868,-0.004353816,0.001479874,-0.003676235,-0.000854969,-0.00446538,-0.002768217,0.003614551,0.003549331,-0.002174214,-0.00355507,-0.001628368,-0.002786541,0.000743887,-0.000972593,-0.001056877,-0.001890327,-0.001813653,-0.002431099,-0.002557692,-0.002275509,-0.001720038,-0.002007215,-0.001932525,0.001291229
"(0.04, 0.06)",0.002439634,0.000857811,0.00154835,0.001463992,0.00147495,0.001613359,0.002038123,-0.002547909,-0.001593184,0.002841594,-0.002671957,0.003070388,-0.001461802,-0.001239405,-0.002393311,0.000668724,0.003569413,0.006075838,0.000122763,0.001714572,-0.000881331,0.001281685,-0.000523372,-0.003042416,-0.003136296,-0.002036117,-0.002318178,0.000594338,-0.001882447,0.001687267,-0.002228808,0.001274602,-0.000145637,0.002326681
"(0.06, 0.08)",-0.002720095,0.000517225,-0.001739683,-0.00177332,-0.001670323,-0.001821116,0.001225355,-0.001675232,-0.000634011,0.000842735,-0.001555016,-0.000543006,-0.003715117,0.000655308,-0.002204601,-0.002845457,0.00382189,0.002281621,-0.002093827,-0.001797359,-0.001576222,-0.003361373,-0.002962533,-0.000267119,-0.000330865,-0.002191271,-0.002453827,-0.002176524,-0.00242867,-0.002071878,-0.00222252,-0.001425137,-0.001507623,-0.00343567
"(0.08, 0.1)",0.002031793,-0.000957913,-0.000233526,-2.76E-05,-0.000266675,-8.21E-05,0.001150286,0.000180864,-0.001335317,0.000563403,0.000398275,-0.001008292,4.00E-06,-0.000530423,-0.000135758,0.000510246,0.004390687,0.002284237,0.000848252,-0.000996583,-0.001492124,5.13E-06,0.000271258,-0.000959341,-0.000268999,-0.001065142,0.001953433,-0.000952436,0.000868152,-0.001594368,0.000129439,-0.002246541,-0.000103502,-0.003697833
"(0.1, 0.12)",0.002184791,0.000326823,0.000690574,0.000722502,0.000806982,0.000674513,-0.000844969,-0.002103412,-0.000635312,-0.000164907,-0.001567996,0.001095578,0.001151931,-0.000343525,-0.001518339,0.000107502,0.003515692,0.003566843,1.17E-05,0.000177348,0.0021215,-0.000629585,0.000208891,-0.001769946,-0.000738359,-0.000656518,0.001906047,0.000288476,0.002108075,-0.000694675,0.001492525,-0.00306023,-0.000789302,-0.000977973
"(0.12, 0.14)",0.000629498,0.004496898,-0.00101033,-0.000866304,-0.00145092,-0.001325642,-0.001175545,-0.001378157,-0.001931633,-0.0012978,-0.002047542,0.001193634,-0.000566135,0.002008849,0.000657821,0.000560632,0.003320357,0.002117344,0.000699187,0.003400415,0.001600637,0.002375711,-0.000540685,-0.00097424,0.001875143,-0.001127083,0.00030519,-0.00016221,-0.000362118,0.000748433,-0.000604326,-0.000184444,0.00169977,-0.000983613
"(0.14, 0.16)",0.000613788,0.000264395,-0.001664228,-0.002313541,-0.001232664,-0.001477356,-0.000551509,-0.001880448,-0.001065813,-0.000814348,-0.001368997,0.000700128,-0.000574807,0.000394393,-0.001294439,-0.00072534,0.002095109,0.003720373,-0.000413253,0.002816593,-0.000729708,0.000814067,0.001705821,0.000890434,0.002115158,-0.000485657,0.00097923,-0.000558377,0.001063001,0.001369751,0.001379454,0.001303974,0.001763128,0.000909244
"(0.16, 0.18)",-0.000498729,-0.001091639,-0.001628563,-0.001302998,-0.001681372,-0.001199637,-3.66E-06,0.001916354,-0.001360591,0.000342285,0.000505577,0.00119743,0.000202057,8.93E-05,0.002725772,0.000773291,0.001592964,0.003739706,0.000886271,0.000601186,0.000785482,0.000397328,0.000674782,0.000494941,0.002041912,0.001753068,0.001792154,0.001260441,0.001956,0.000630974,0.002326177,-7.76E-05,0.001152046,0.00076021
"(0.18, 0.2)",-0.001685176,0.000290362,0.002987685,0.003114708,0.00315394,0.002766379,0.000372052,-0.000258219,-0.000144284,0.000399219,0.000631995,0.000629665,0.002969339,-0.000406652,0.000758275,0.001861156,0.002880279,0.00319767,0.002367155,-0.00056825,0.001326944,0.002127654,0.001789526,-8.46E-05,0.001134409,-9.63E-05,0.000386856,0.002009511,0.001718317,0.000124596,0.00158808,-0.000636416,0.000582397,0.000296736
