,_id_rank,日期_rank,开盘_rank,收盘_rank,最高_rank,最低_rank,成交量_rank,成交额_rank,振幅_rank,涨跌幅_rank,涨跌额_rank,换手率_rank,真实价格_rank,代码_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日成交额_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,SMA2开盘比值_rank,SMA20开盘比值_rank,SMA3开盘比值_rank,SMA30开盘比值_rank,SMA4开盘比值_rank,SMA40开盘比值_rank,SMA5开盘比值_rank,SMA50开盘比值_rank,SMA6开盘比值_rank,SMA60开盘比值_rank,SMA7开盘比值_rank,SMA70开盘比值_rank,SMA8开盘比值_rank,SMA80开盘比值_rank,SMA9开盘比值_rank,SMA90开盘比值_rank
"(0.0, 0.02)",0.00718526798686689,,-0.002408644417553561,-0.0024185262442400616,-0.0023529140326371033,-0.002468827751633616,-0.013522387853835404,-0.010835672379671759,-0.01577551513736229,0.0041425376807669,-0.006735547288125792,-0.024240751586989916,-0.0039274962262880195,-0.0006252681170298218,,0.002592280021613099,-0.014779527663778007,-0.010138220307007657,-0.00627600629373921,0.00979952956390304,0.0071594638466807884,-0.002108002060057104,-0.012837655341395669,-0.0035669441634511335,-0.013679034535162697,-0.005724341949738987,-0.013855949038775172,-0.006844293501279596,-0.014617784302327075,-0.008121280978523075,-0.014664960026060882,-0.008808767923972418,-0.015123948961717744,-0.009417065609024937,-0.01453166494116134,-0.009938646235393162,-0.012784607409997548
"(0.02, 0.04)",0.003656851872149618,,-0.003243281284929656,-0.003395581508895077,-0.003571570120178551,-0.0031445434009887913,-0.010086327527445928,-0.00970479532669797,-0.009257345633578872,-0.008158671425972092,-0.005336331247197033,-0.01185243740416516,-0.00375135410982847,0.0009768038676044974,,-0.003975741491244031,-0.008781883521180383,-0.008961340613461335,-0.007218889022203297,0.0065346349362190885,0.006546886368154326,-0.005925220889645031,-0.006296080368165437,-0.008236386610338936,-0.007992005833380972,-0.0080374843768937,-0.00882224819393524,-0.00858856426663565,-0.008641304968570135,-0.008608823233556299,-0.008512386144662046,-0.007519522506090324,-0.00841538761376785,-0.00705896164703706,-0.009381950357619986,-0.0074227496956104436,-0.008231890256288866
"(0.04, 0.06)",0.003910310573897246,,-0.0018405197956779383,-0.0018729066998953194,-0.0018808437738727112,-0.0020657357099379326,-0.008632510395234,-0.00836176836963769,-0.006231130697538333,-0.005874227337763652,-0.004144040784179341,-0.006539405970127611,-0.0037444801418256954,6.632789296630296e-05,,-0.0009252675082289848,-0.005537421835016925,-0.007690131254985625,-0.0042237314332573645,0.006520153921858366,0.006190893450167409,-0.004598031797113594,-0.004233493953760954,-0.0043037615314285285,-0.003012438421492588,-0.005013277078576593,-0.0040003448790552265,-0.003739635567579119,-0.006156656430570847,-0.004394435440533732,-0.0069007882611864975,-0.005332509268536162,-0.007256591182955564,-0.005456945257536457,-0.006309345749881251,-0.004243788395264356,-0.0045941585983508195
"(0.06, 0.08)",0.002119669144513114,,-0.002770561261543337,-0.002784579973785477,-0.002718115498048164,-0.0026121529140232876,-0.0069532813817444646,-0.008164597089692287,-0.004715228939658662,-0.0044116421718650685,-0.0029869091796264316,-0.004474007829027985,-0.0012486570218428455,0.0009186510254412289,,0.0004617626469792415,-0.004252598507023377,-0.008250514795579889,-0.002636094564430412,0.0054875957828893875,0.00478856780945265,-0.0019925539823097142,-0.003338499351828058,-0.0025365270636103178,-0.002577465357889289,-0.0031002097588958178,-0.003610822478019031,-0.0037607089227363615,-0.004044406551954341,-0.0035197795927046555,-0.0032403319008252798,-0.002525797855059972,-0.004825815197186699,-0.003507642960862042,-0.004906349624345888,-0.0035817731954403812,-0.002056252647802697
"(0.08, 0.1)",0.002669310502578014,,-0.0023375566913911186,-0.0021353720891785326,-0.0020337267236997508,-0.002183269338541293,-0.006203336448034694,-0.006838759571988322,-0.004021382677160513,-0.0027906339598970176,-0.0024769293181987136,-0.004819084036912129,-0.0026156081943486224,0.001977147815755003,,0.0007527814768880878,-0.00299095161801361,-0.006128503464766613,-0.0014311835527369907,0.004678445204878402,0.005849770636285122,-0.0019813647628938234,-0.001194781430421628,-0.0024442722645913917,-0.0014186618995585892,-0.0023361628255974065,-0.0017338722066570587,-0.0021604700604643135,-0.002316837667381389,-0.001608490039402456,-0.0027950663670760637,-0.0031395472471413524,-0.0022704658626159645,-0.0012834500771922257,-0.0030798406072776075,-0.0017939338890294212,-0.001865305083783191
"(0.1, 0.12)",0.00083800107087086,,-0.002421626922066592,-0.002995775008702924,-0.002925982369005802,-0.002636918331597965,-0.005215903618272627,-0.006945409785937721,-0.002759094752279232,-0.002974797584492843,-0.0020068494929639724,-0.0031178442278352076,-0.0027909624127865173,0.0009269161869668058,,0.00029609058454066917,-0.0026400458395018983,-0.00647876366386434,-0.0015869818912656348,0.004664703139652239,0.004958179678840973,9.125509381551427e-05,0.00012212528901710994,-0.0006222232012798017,2.2960824992994705e-07,-0.0007449031105751249,-0.001324945641387475,-0.0016083577451972769,-0.0018337569729009779,-0.0023167258504880614,-0.0020923986299847385,-0.0014701666121965339,-0.0011861199989466951,-0.0014710222338609451,-0.0015209519499935367,-0.0007207727918791533,-0.0005112254251039721
"(0.12, 0.14)",-0.0010515447003890128,,-0.0005307866062603238,-0.00010563904022351745,-3.059949643330541e-05,-0.0005207034172777918,-0.003986981957203166,-0.005255012673560804,-0.0020573745974873615,-0.0008434047505771197,-0.0023344249051581705,-0.0011067206393196901,-0.000496789341684007,0.0009821633161851146,,0.0007458517985585687,-0.0017950538909811636,-0.004908673372512746,0.00038647696458796524,0.004551310408047664,0.004598670189342618,-0.0003325164083388453,0.0001495483208039757,-0.00024511002881983057,0.0008902665485627887,-0.00037269242569504366,6.847695856545749e-05,-0.0007967178270052648,-0.0009129442880098102,-0.0009623195804577555,-0.0015634133985478885,-0.00013538622685737472,-0.002216721017652744,-0.0005440248898655123,-0.0008595624597718123,-0.0006871443885418689,0.0001629997493987707
"(0.14, 0.16)",-0.0010804801594362264,,-0.00030523156823893225,-0.0002393767556960894,-0.000802622134801943,0.0003445672091165055,-0.003400574847382523,-0.00376346531377947,-0.0023199196824460477,-0.00018706889856384367,-0.0015679025307211276,-0.0007661516690994416,-0.0014220851567275962,0.0010448374012612292,,0.000761672867067796,-0.0015884480911029315,-0.003269521886565065,0.0009373548929388604,0.004943968929144864,0.004679274392335974,-0.00024865925160142105,0.0013885627756251866,5.0428878558640246e-05,0.0018041883180308744,0.0003757939782308297,0.000286283204761898,-2.671106943682716e-05,-0.0004941182721575503,0.0005313467142808818,-0.0013023603811833906,-0.0004053110833336167,-0.0004238948397874826,-7.741693322000403e-05,-0.0012642430594475532,0.00022652268822153605,9.584160239650768e-05
"(0.16, 0.18)",0.0007010873763293967,,-0.0019404844252589961,-0.0019064163477756865,-0.002095371678699685,-0.001860652474084261,-0.004007728955568135,-0.004074471540861942,-0.002010940082822567,-0.0008744595310103358,-0.001399694317208384,-0.001294350016145967,-0.0010076991392880053,0.0021754134486131702,,0.0030546224086810455,-0.00090902478389237,-0.003873863718218076,5.5801087085782036e-05,0.004415406510983163,0.003557542524210384,0.0011774350781973092,0.001224620016745497,0.0006477615282809607,0.0016305137352191738,0.00046490064429966107,0.0019027895701825455,0.00038754306430090354,-0.00026728030220533715,-0.00034827916713060596,0.0007418032558262258,0.0001705216199989182,-0.0006604327746340792,-0.0009243228665658447,-0.00040852001953141327,1.6186667219511102e-06,-0.0004543849279209741
"(0.18, 0.2)",0.0005234238493659687,,0.0002167312156119942,-0.00016499533371624946,3.174182438234532e-05,6.413758561763163e-05,-0.0023198224224256106,-0.0029040391848166093,-0.0009869614524834944,-0.00014129514078611207,-0.00015680740802326916,-0.0007288885777681789,-0.002231802025667613,0.0011453917155406321,,0.001841231194137605,-0.001631292816355222,-0.002453743368769184,0.0007480507453198457,0.004911576881011803,0.004397745633913722,0.0014818153639063706,0.0009196375810564065,0.000584218688146458,0.002566255803436526,0.0009759372189340949,0.0008721413775195591,0.0011205881715368549,0.001829523257901673,0.0009478866568271049,0.0007971722239761866,0.00022335485133177256,0.00041900609378517313,0.0007273085731266685,0.00105493823044393,0.0003755464870389425,0.002674250933469996
