,_id_rank,时间_rank,成交额_rank,最新价_rank,日期_rank,timestamp_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日涨跌幅_rank,昨日成交额_rank,昨日资金贡献_rank,delta昨日资金贡献_rank,up昨日资金贡献_rank,down昨日资金贡献_rank,昨日资金波动_rank,delta昨日资金波动_rank,up昨日资金波动_rank,down昨日资金波动_rank,delta开盘_rank,up开盘_rank,down开盘_rank,SMA10开盘比值_rank,ma_up4周期开盘_rank,ma_down4周期开盘_rank,ma_up4周期昨日资金贡献_rank,ma_down4周期昨日资金贡献_rank,ma_up4周期昨日资金波动_rank,ma_down4周期昨日资金波动_rank,SMA15开盘比值_rank,ma_up6周期开盘_rank,ma_down6周期开盘_rank,ma_up6周期昨日资金贡献_rank,ma_down6周期昨日资金贡献_rank,ma_up6周期昨日资金波动_rank,ma_down6周期昨日资金波动_rank,SMA20开盘比值_rank,ma_up8周期开盘_rank,ma_down8周期开盘_rank,ma_up8周期昨日资金贡献_rank,ma_down8周期昨日资金贡献_rank,ma_up8周期昨日资金波动_rank,ma_down8周期昨日资金波动_rank,SMA25开盘比值_rank,ma_up10周期开盘_rank,ma_down10周期开盘_rank,ma_up10周期昨日资金贡献_rank,ma_down10周期昨日资金贡献_rank,ma_up10周期昨日资金波动_rank,ma_down10周期昨日资金波动_rank,SMA30开盘比值_rank,ma_up12周期开盘_rank,ma_down12周期开盘_rank,ma_up12周期昨日资金贡献_rank,ma_down12周期昨日资金贡献_rank,ma_up12周期昨日资金波动_rank,ma_down12周期昨日资金波动_rank
"(0.0, 0.041666666666666664)",-0.000332306,,-0.000182485,-0.000221785,,,0.00051663,0.000365213,0.000793365,0.000356641,-0.000189916,0.000274543,0.000354378,0.000364387,0.000231944,0.000281085,0.00036804,0.000368537,0.000298615,0.000338086,0.000344064,0.000400559,0.000319789,0.000292541,0.000342639,0.000251891,0.000230061,0.000274781,0.000265266,0.00031756,0.000205779,0.000280771,0.00029386,0.000274609,0.000321541,0.000319133,0.00027183,0.000260149,0.000285787,0.000296607,0.000302194,0.000352703,0.000346524,0.000328922,0.000219059,0.000436139,0.00031652,0.000321005,0.000341633,0.000334452,0.000316324,0.000322823,0.000350033,0.000323884,0.000317134,0.000343362,0.000341863
"(0.041666666666666664, 0.08333333333333333)",-0.000144543,,0.000233869,-0.000220492,,,0.000206704,0.000192028,0.000444723,0.000176954,0.000231998,0.000326648,0.000349647,0.00037005,0.000387585,-5.79E-05,0.000300777,0.00031014,0.000305359,0.000206656,0.00023152,0.000241922,3.28E-05,0.000155735,0.000258016,-0.000103861,-4.75E-05,-5.99E-05,-9.81E-05,-6.15E-05,0.000299726,0.000311757,-0.000135517,-0.000117374,-0.00017339,-0.000164868,7.01E-05,0.000395312,0.000305568,-0.000152643,-0.000163632,-0.000220817,-0.00021743,8.36E-05,0.000457994,0.000169459,-0.00017928,-0.000192453,-0.000219218,-0.000213016,0.000159977,0.000369413,0.000290242,-0.000191915,-0.000190481,-0.000220785,-0.000219231
"(0.08333333333333333, 0.125)",0.00013172,,0.000186831,0.000175305,,,8.93E-05,0.000139503,0.000380916,0.000105546,0.000187233,0.000275212,0.000236769,0.000263856,0.000214483,0.000890317,0.000240324,0.000242875,0.000237665,6.28E-05,6.67E-05,-2.23E-05,4.84E-05,0.00012454,0.000136566,0.000885088,0.000854353,0.000926906,0.000941064,0.000117361,0.000105752,0.00011296,0.000883829,0.000881717,0.000992234,0.000951481,9.47E-05,6.13E-05,0.000138777,0.000876524,0.000880238,0.000964016,0.000966451,6.75E-05,0.000115144,0.000225748,0.000862231,0.000869407,0.00096697,0.0009649,5.78E-05,0.000194598,0.000161226,0.000851982,0.000859477,0.000961945,0.000957924
"(0.125, 0.16666666666666666)",-4.22E-05,,1.30E-05,0.000272414,,,7.02E-05,8.10E-05,0.000323611,2.38E-05,1.03E-05,0.000179815,0.000174733,0.000209424,0.000162708,0.000750264,0.000148108,0.000150167,0.000213997,-1.36E-05,-1.59E-05,4.48E-06,2.69E-05,0.000127479,0.000170713,0.000773671,0.000729306,0.000755306,0.00072802,2.35E-05,9.61E-05,0.000167068,0.000757971,0.000780057,0.000779381,0.000771438,2.49E-05,7.38E-05,0.000162241,0.000759068,0.000781195,0.000764913,0.000760381,-1.28E-06,9.67E-05,0.00016097,0.00078591,0.000809308,0.000747396,0.000735158,9.07E-06,6.58E-05,0.000184648,0.000777445,0.000824467,0.000739424,0.000709823
"(0.16666666666666666, 0.20833333333333331)",-0.000183106,,-0.000153688,-0.000265655,,,0.000143436,7.89E-05,0.000288523,9.31E-05,-0.000180833,3.98E-05,9.90E-05,4.41E-05,4.60E-05,0.000529186,7.79E-06,1.09E-05,-5.31E-05,2.50E-05,-1.08E-05,-2.21E-05,-1.80E-05,9.10E-05,7.70E-06,0.0003908,0.000439734,0.000362526,0.000369965,-8.73E-05,0.000207452,0.000181839,0.000466918,0.000507433,0.000378151,0.000341035,-9.49E-05,9.99E-05,0.000175464,0.00050098,0.000508005,0.000404686,0.000385564,-5.02E-05,6.65E-05,0.000117315,0.000386343,0.000412327,0.000487795,0.000452315,-9.14E-05,-1.60E-05,0.000132405,0.000345605,0.000293437,0.000462708,0.00049446
"(0.20833333333333331, 0.25)",-0.000273286,,-0.000181824,0.000131927,,,-7.33E-05,3.50E-05,0.0001379,2.87E-05,-0.000183421,-1.90E-05,-4.40E-05,-9.54E-05,-4.53E-05,0.000572839,-0.000121481,-0.000151717,-0.000106193,4.32E-05,-2.99E-05,-3.35E-05,-5.78E-05,-7.58E-05,4.99E-05,0.000333079,0.000331742,0.000202882,0.000180185,-2.86E-05,5.46E-05,-2.20E-05,0.000322292,0.000228972,0.000125239,9.14E-05,-3.50E-05,0.000116705,-1.43E-05,0.000449829,0.00036571,0.000127413,-2.19E-05,-2.87E-05,-2.03E-05,6.04E-05,0.000493095,0.000380161,0.000105004,6.82E-06,-4.59E-06,-2.45E-05,-3.36E-06,0.000549382,0.000468933,0.000259797,6.61E-05
"(0.25, 0.29166666666666663)",-0.000265261,,-0.000176436,0.00012631,,,-7.04E-05,5.31E-05,0.000122088,4.49E-05,-0.00017504,-2.96E-05,-3.60E-05,-8.77E-05,-3.68E-05,0.000565797,-0.000125609,-0.000160333,-9.27E-05,3.58E-05,-3.29E-05,-2.26E-06,-5.69E-05,-5.82E-05,4.05E-05,0.000337695,0.000348906,0.000170941,0.000173207,-2.89E-05,5.96E-05,-3.88E-05,0.000323675,0.000218625,0.000102423,6.11E-05,-4.22E-05,0.000129164,-5.90E-06,0.000461238,0.00036534,0.000103295,-6.02E-05,-3.97E-05,-1.30E-05,4.45E-05,0.000496708,0.000392486,6.60E-05,3.29E-06,1.01E-06,-2.37E-05,1.92E-05,0.000548525,0.000481999,0.000225345,2.90E-05
"(0.29166666666666663, 0.3333333333333333)",-0.000394231,,-0.00038765,-0.000150624,,,-3.12E-05,-4.73E-05,-2.26E-05,-6.22E-05,-0.000392248,-6.53E-05,-5.04E-05,-0.000120478,-0.000148105,-8.82E-05,-2.43E-05,-6.54E-05,-9.10E-05,1.33E-06,-3.21E-05,-9.04E-05,-7.57E-05,-2.27E-05,-1.53E-05,7.25E-06,7.22E-06,2.77E-05,9.83E-06,-4.08E-05,8.79E-06,-9.97E-06,-1.10E-05,2.77E-05,4.21E-05,5.15E-05,-0.000109506,-3.39E-05,-1.27E-05,-2.32E-05,-2.34E-06,4.49E-05,6.79E-05,-5.00E-05,1.22E-05,3.78E-05,1.20E-05,1.72E-05,3.36E-05,5.98E-05,-1.50E-05,8.93E-05,8.82E-06,-3.12E-05,1.30E-05,-5.18E-05,9.26E-05
"(0.3333333333333333, 0.375)",-0.000275177,,-0.000111583,0.000468804,,,-6.66E-05,-6.41E-05,-1.10E-05,-8.93E-05,-0.000111474,-7.30E-05,-4.83E-05,-9.47E-05,-0.00013433,-7.28E-05,-4.83E-05,-8.14E-05,-0.000121809,2.30E-05,-4.03E-06,-8.85E-05,-0.000106191,7.91E-06,-3.99E-05,-7.59E-05,-2.55E-09,-1.31E-05,3.20E-05,-0.000133038,6.65E-05,-8.54E-06,-5.11E-05,-6.74E-05,-5.47E-05,-1.56E-05,-0.000125812,3.16E-05,-2.50E-05,-3.66E-05,-7.41E-05,-4.80E-05,6.45E-05,-0.000148864,7.27E-06,-3.71E-05,-4.34E-05,-3.90E-05,-2.75E-05,7.29E-05,-9.04E-05,4.97E-05,-6.69E-05,-5.09E-05,-3.10E-05,-5.07E-05,7.22E-05
"(0.375, 0.41666666666666663)",-0.000286329,,-1.18E-05,0.000958556,,,-5.97E-05,-7.67E-05,-5.20E-06,-9.02E-05,-2.14E-05,-4.50E-05,-4.24E-05,-7.34E-05,-6.58E-05,-6.06E-05,-6.16E-05,-0.000104338,-9.53E-05,6.71E-05,3.15E-05,-0.000126308,-0.000110034,3.81E-05,6.85E-05,-5.95E-05,-4.18E-05,-9.43E-05,-3.04E-05,-0.00016753,8.40E-05,5.75E-05,-6.49E-05,-6.75E-05,-9.51E-05,-7.64E-05,-7.16E-05,2.07E-05,5.23E-05,-4.54E-05,-0.000152804,-0.00010595,8.44E-05,-0.000192092,-1.96E-06,-7.61E-06,-9.62E-05,-0.0001394,-3.66E-05,6.99E-06,-9.33E-05,2.23E-05,-0.000128367,-5.23E-05,-0.000111746,-9.07E-05,-4.67E-05
