,_id_rank,timestamp_rank,代码_rank,日期_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,收盘timestamp_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日成交量_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,过去2日总涨跌_rank,过去2日总成交额_rank,过去2日资金贡献_rank,过去3日总涨跌_rank,过去3日总成交额_rank,过去3日资金贡献_rank,过去4日总涨跌_rank,过去4日总成交额_rank,过去4日资金贡献_rank,过去5日总涨跌_rank,过去5日总成交额_rank,过去5日资金贡献_rank,过去6日总涨跌_rank,过去6日总成交额_rank,过去6日资金贡献_rank,过去7日总涨跌_rank,过去7日总成交额_rank,过去7日资金贡献_rank,过去8日总涨跌_rank,过去8日总成交额_rank,过去8日资金贡献_rank,过去9日总涨跌_rank,过去9日总成交额_rank,过去9日资金贡献_rank
"(0.0, 0.02)",0.00017565256968522054,,-0.00013765030792822877,,3.9806202919381945e-06,3.9806202919381945e-06,3.9806202919381945e-06,3.9806202919381945e-06,-6.712655837182863e-05,,-0.0001680883145202288,-0.0001775457105854289,-9.510876378824599e-05,-0.0002576414026034504,2.8056214126851965e-05,-0.00035115212452134406,-4.222006675724737e-05,-9.25387888065762e-05,-2.603646653205459e-05,-6.721838555718334e-05,,-0.0015444015444014,-0.0002150393266657657,-0.00014441200479691136,,-0.0002714169783561373,-0.00011407917683608231,,-0.0001852234255016511,-6.18123131843109e-05,,-0.00026499629468574714,1.0108911996543316e-05,,-0.0002452264238360616,-1.3834913218552496e-05,,-0.00030369075901960304,-2.9813734970281423e-05,,-0.0002448116091608514,-2.8654132248952973e-05,,-0.0002726572088027557,-3.34752944910206e-05,
"(0.02, 0.04)",0.00021102183996950968,,-6.601099672142907e-05,,-0.00014079891865403853,-0.00014079891865403853,-0.00014079891865403853,-0.00014079891865403853,-1.972682977680954e-05,,6.337871924917121e-05,0.00014439716750208186,-3.028382391066506e-06,8.105163317084036e-05,0.00012657637209587033,-0.00011075014103345039,1.483128768917077e-05,4.504052951353636e-05,3.053246658952264e-05,-3.359693590117195e-05,,-0.0022520635145402822,-1.4245583526709444e-05,0.00012165666125096112,,-3.930060161448576e-05,0.00014427788739032626,,-5.900121960890888e-05,0.00015647588563542984,,5.375708743136369e-05,9.085863285903304e-05,,-6.517541425389221e-05,0.00010737285095353583,,-3.2591988568660654e-05,0.00013186509217263668,,-4.6509699333085356e-05,0.0001507997232797649,,4.932390691546309e-05,0.00017699557107793778,
"(0.04, 0.06)",-9.85981391046312e-05,,4.722516936847333e-05,,-2.066467427115865e-05,-2.066467427115865e-05,-2.066467427115865e-05,-2.066467427115865e-05,1.2397797044800029e-05,,0.00012528888501176015,7.982620419903606e-05,-4.704941492842035e-05,0.00014629821131274787,-2.421070005945161e-05,-8.140309531670428e-05,0.00010661455350101835,0.00013537683225775605,2.1063345475716924e-05,2.162676429897017e-06,-0.0026455026455026,-0.0025154836721866464,-4.415123545665285e-05,8.420164186778175e-05,-0.00159208982738395,-3.6245038023471173e-06,6.948697547105816e-05,-0.0020410170427073667,-2.4034551806083114e-05,2.7690753603031738e-05,-0.0010198563542892667,7.047000085279468e-06,5.697446989704691e-05,-0.0011788409234323833,5.4001235335522676e-05,8.359742453973557e-05,-0.001380239651339145,3.98400830719238e-05,9.035360461667939e-05,-0.0012307130332678295,-4.2553962076404685e-05,0.00011809853222181425,-0.0014250020184745382,5.08742550368915e-05,0.00012088214144275681,-0.0007174435074957131
"(0.06, 0.08)",9.128009773017711e-05,,-4.021538554415694e-05,,2.5741912731138943e-05,2.5741912731138943e-05,2.5741912731138943e-05,2.5741912731138943e-05,5.235868963397589e-05,,8.566189100931958e-05,0.00010653460687822794,8.455380144961361e-05,5.952322957055778e-05,9.744574394254116e-05,-0.00014914254453746243,0.00016080775540433756,9.253393227675799e-05,2.5994791386899123e-05,-6.961442698020568e-05,-0.00277018693441885,-0.0011338651918691074,5.125074180178261e-05,0.00012815544659275252,-0.0022197264757367,9.248743222156724e-05,6.089173947563931e-05,-0.00135573338482861,9.593148087577633e-05,4.8928930106996017e-05,-0.0012192998158354357,-3.9193002728354335e-05,1.9949442493587268e-05,-0.0015495214129251271,3.8523360599731475e-05,3.2562555020662436e-05,-0.001263849982395589,1.7871437099934994e-05,9.055261855717367e-06,-0.0013842591207887042,-6.1936208103996e-05,-2.3442773874090918e-05,-0.0009314329985355456,-4.080063221439422e-05,-6.37065547861095e-05,-0.0011548101520905156
"(0.08, 0.1)",-0.00014696075962474122,,-1.4657152834913588e-05,,-6.467929201928479e-05,-6.467929201928479e-05,-6.467929201928479e-05,-6.467929201928479e-05,0.00010111359344522686,,2.5023250550514707e-05,4.026664602081723e-06,4.335167352865046e-05,-3.3261776183151e-06,-1.6458999991746487e-05,-0.00014048093715800274,0.0001030135097845516,2.560025719526329e-05,9.371325430778555e-05,6.078300726602921e-06,-0.0012153778100242,-0.0014493985448163396,-2.4787267932438234e-05,7.345354701718389e-05,-0.0013486105540168232,-2.8834952054155685e-05,7.440761706644836e-05,-0.00134765019701498,-2.9236703756925724e-05,4.82707572782014e-05,-0.00124514058626922,4.3696196875644405e-05,2.6107032765284537e-05,-0.0013539129981149447,-5.966168159966469e-06,-4.2106139800286517e-07,-0.0013380391504806812,8.000840183212257e-05,2.9868985804898754e-05,-0.0006804359669193706,-2.6631155918430364e-05,-5.287207282851817e-06,-0.0011004973119121606,3.034158376218812e-05,1.7816664346816864e-05,-0.0009831681608483114
"(0.1, 0.12)",-3.635311910168531e-05,,0.0001317740132994797,,1.7228682946353626e-05,1.7228682946353626e-05,1.7228682946353626e-05,1.7228682946353626e-05,0.00015266074627252847,,1.6403669298981267e-05,4.3741482340679164e-05,0.00011297101423471876,3.011562660772288e-05,9.466131392107576e-05,-9.53154113895808e-05,8.198510497405021e-06,4.158294690620164e-05,9.289892914111817e-05,-5.060818032860559e-05,-0.0015419187363813643,-0.0006040685032201027,7.11597906333637e-05,5.591893037498092e-06,-0.00106699110045635,-0.00011716840362747447,5.99638123344433e-05,-0.0009399419784167447,2.382616284196611e-05,4.533277489541413e-05,-0.0011034519337931674,2.7313594992946176e-05,6.447798790904758e-05,-0.0010866628360720791,-8.487835620964375e-05,4.029876065052794e-05,-0.0009288517333951344,2.23072635217664e-05,1.9092634774475845e-05,-0.0009764406457427765,1.3663985624586012e-05,3.654452768576418e-05,-0.00042719197066144553,-2.6249563115015486e-05,4.2050818177424024e-05,-0.0007541142421367055
"(0.12, 0.14)",-1.0940773919516086e-05,,-2.566004461862379e-05,,6.58055466887208e-06,6.58055466887208e-06,6.58055466887208e-06,6.58055466887208e-06,9.952242273534093e-05,,0.00015635214779933065,3.650287363148277e-05,5.3845572822643455e-05,8.744590763710346e-05,2.4594912332596144e-05,-9.75465098104263e-05,8.008715984932145e-05,0.0001348986061086825,8.461319545378171e-05,1.3661278385421833e-05,-0.0015082804567148895,-0.00046451075172644705,-4.7307374216256e-05,0.00010576376149891079,-0.0017136890428036263,-1.1509094935144363e-08,0.00010819068011572278,-0.001269225068733162,-1.2396961317047761e-05,0.00014630186219629002,-0.0010514089421992305,-5.1018734292493175e-05,0.0001837131886303831,-0.0006115891858132649,3.80967072427846e-05,0.00020164792792675253,-0.0005458585605643031,1.458928574310871e-05,0.00023299645486412295,-0.0005961426439765896,1.7401778233300853e-05,0.00024349108819151936,-0.0005511524388120574,-4.837496592754049e-05,0.00025714091846458335,-0.0003890198526810917
"(0.14, 0.16)",-3.307488399152852e-06,,1.539785627049992e-05,,7.617441514569223e-05,7.617441514569223e-05,7.617441514569223e-05,7.617441514569223e-05,0.00010200457543091304,,8.88275931769957e-05,5.396082978841583e-05,0.00022145278280655156,1.4676981551253514e-05,4.084747007610242e-05,-8.94957134921951e-05,0.00012454522222242036,8.977511205243191e-05,8.118889193294997e-05,3.335156553045943e-06,-0.0017409044372344376,-0.00021091005382897188,-2.137984550214841e-05,5.0653599352182696e-05,-0.0012502031765876914,-0.00011122867747452606,0.00010351468224098758,-0.00099670558276476,5.145613353238746e-06,0.00012562582204513122,-0.000979740121807239,-7.810682750463758e-05,0.00012765329763197222,-0.00045283054848396933,-4.619308966233554e-05,0.00015261647992187563,-0.0003382629013305839,1.5997997101755525e-05,0.0001407976999595479,-0.00026139336784670157,9.945875810815215e-05,0.0001518991225386625,-0.00026258625284716924,3.631851712325597e-05,0.00015408102317894133,-0.0003480302841384528
"(0.16, 0.18)",-5.679151399371271e-05,,-4.886615601638935e-05,,3.062112507462566e-05,3.062112507462566e-05,3.062112507462566e-05,3.062112507462566e-05,0.00013439334452362711,,7.971909767768034e-05,6.282202638861374e-05,0.0001919514951793727,9.877268047345057e-05,4.715005196691558e-05,-0.00010248171787239468,0.00012132057290290538,6.718708091439047e-05,0.00012903530280957638,8.595060474106144e-06,-0.0025999179523211904,-0.0004801217245701572,-4.207284922471579e-05,0.00011056993848286669,-0.0010724325949130293,-0.00014084932907393037,7.954394422321861e-05,-0.0008328103956701253,-9.004741340343715e-05,6.947197823993423e-05,-0.00042114881279254446,-0.00013161885135500346,6.859643848281384e-05,-0.000498318376073478,-8.606088852087675e-05,3.783351774562656e-05,-0.00047783312252519826,-5.181755837928136e-05,5.958450847981816e-05,-0.0005754729148177337,-4.092188038879194e-05,2.2719604541463006e-05,-0.0005571760516467255,-3.230634988759717e-05,1.0563531010588542e-05,-0.00035042029580761803
"(0.18, 0.2)",-4.119070956545755e-05,,5.822518776537985e-05,,6.257988759617998e-06,6.257988759617998e-06,6.257988759617998e-06,6.257988759617998e-06,0.00020973430687501725,,6.037042757621864e-05,0.00010551525215644539,-6.736919258768497e-05,7.454384975642539e-05,7.718634401922491e-05,-0.00017497220710573408,-2.5317940186279712e-05,6.75423819641273e-05,0.00020455838312955703,-1.0785454148826146e-05,-0.0016728723085274466,-0.0004217795266623925,-0.0001632054951141538,7.622831582996615e-05,-0.0009977514394065058,-6.149228074192797e-05,3.76352923153596e-05,-0.0008465427934549718,-1.9964772384883358e-05,3.7484019695408027e-05,-0.0005233922213274082,-2.3938728829481427e-05,3.6743199364240784e-05,-0.000544036382023039,6.232899921397118e-05,2.0300579430483356e-05,-0.0004618459414843263,7.262688147449009e-05,1.835545558910495e-05,-0.00043588944144372116,5.051856047705603e-05,4.434840485867456e-05,-0.00037273174205824277,-1.6981144767396698e-05,3.960587668381878e-05,-0.0003045148641902465
