,_id_rank,时间_rank,开盘_rank,收盘_rank,最高_rank,最低_rank,涨跌幅_rank,涨跌额_rank,成交量_rank,成交额_rank,振幅_rank,换手率_rank,代码_rank,日期_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日成交额_rank,昨日成交量_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,过去2日总涨跌_rank,过去2日总成交额_rank,过去2日资金贡献_rank,过去3日总涨跌_rank,过去3日总成交额_rank,过去3日资金贡献_rank,过去4日总涨跌_rank,过去4日总成交额_rank,过去4日资金贡献_rank,过去5日总涨跌_rank,过去5日总成交额_rank,过去5日资金贡献_rank,过去6日总涨跌_rank,过去6日总成交额_rank,过去6日资金贡献_rank,过去7日总涨跌_rank,过去7日总成交额_rank,过去7日资金贡献_rank,过去8日总涨跌_rank,过去8日总成交额_rank,过去8日资金贡献_rank,过去9日总涨跌_rank,过去9日总成交额_rank,过去9日资金贡献_rank
"(0.0, 0.02)",2.4185342792183714e-05,,0.0003483011329931988,0.0003483011329931988,0.0003483011329931988,0.0003483011329931988,6.312912664016416e-05,0.0003618613099478815,0.0004394363088753499,0.0002737062490566389,0.0010504214697403082,0.0008140518155150927,0.0004271987912936348,,,0.00046437705860146117,0.0005290813959950361,0.00020726715864825455,0.0001814974116708948,0.0002745548919676029,0.0001582820488311759,0.00026754682771715406,2.2771972013788973e-05,0.000184401643263475,0.00022195604195417994,-3.6391770461103314e-05,-3.280976784893647e-05,0.00018950152748284705,-0.00025151686665874197,9.560378029821738e-05,0.00019263270002495872,-0.00016320601425394933,0.00013933829439429825,0.0002150543954836851,9.420998468816653e-05,0.00012596567452642833,0.00020496938663967025,-0.000214141751188258,0.0002457154839532196,0.0002217916359544124,-0.00019328671746085218,0.00020790741231390634,0.00018905245909624295,2.019196645654182e-05,0.00021254048008156247,0.000195530929988489
"(0.02, 0.04)",1.886252353740311e-05,,0.0004328837490142377,0.0004328837490142377,0.0004328837490142377,0.0004328837490142377,-0.00011447081666592243,0.00012886186211576465,0.0007460985773840055,0.0009435794301886491,0.0007780634479555527,0.0011693026725088202,0.0004742407764111406,,,0.00013707592967856415,0.0008509697002673935,0.0006880066588227373,0.0006225871130494143,0.0003904150342274933,0.00029922154878220746,0.00031049243802756246,0.000377599856005524,0.0006076989578047234,0.0001460991987502431,-8.683405753551563e-06,0.0006128170634429371,0.00014403618899623948,7.246746281898151e-05,0.00040384562932240377,0.00016169392367538078,2.3256973686150437e-05,0.00031055255981160264,0.00012185028535135808,-0.0003005953139566425,0.0003679812153422168,0.00010521114145663912,0.0001352116078891742,0.00033042185386261377,5.167349901706422e-05,0.00011406500592037381,0.0004432111279240154,8.380091151996544e-05,-6.06876911870181e-05,0.0004926662363997481,9.362624843928365e-05
"(0.04, 0.06)",-6.272819171939233e-05,,0.0003247319924015701,0.0003040680237770835,0.0003115177015393826,0.00031869074831029345,-0.00024710696635450014,-9.228383356431392e-05,0.0005975208281666653,0.0006075900703946627,0.00040205237756847325,0.0006941819648712004,0.0005440246678851245,,,0.00025203707265717665,0.00032198879246763545,0.0006081083976634986,0.0007854637676159939,0.00018721353858775855,0.00021823319750747624,0.00024535323766457836,4.911176820830812e-05,0.0003993301173197903,0.00014978869432890832,0.00022122870534282976,0.0004972901993138282,0.00013780968337638534,-1.1088740627541033e-06,0.0004699661664909309,9.824797895817678e-05,-3.969850417950571e-06,0.0005032434585115462,8.024043934620893e-05,-0.00011050450990493721,0.0003528391902700354,9.129894539298391e-05,-7.270259376218529e-05,0.00038760597923040825,0.000166299603338708,0.0003024420577554309,0.0002512824124028609,0.0001187161163143483,0.00038989752362266286,0.00020765285666148834,9.406723876929488e-05
"(0.06, 0.08)",3.163329618853435e-05,,0.0008067609891683281,0.0008261989890722052,0.000815483813295801,0.0008104319234905437,-0.00020364979976562206,0.00029147759176747183,0.00044739487094154956,0.0005006057004017371,0.0005746682471503799,0.0008388000986728839,0.0005536744839703735,,,0.00015560477683835097,0.000292523502451768,0.000391215455742479,0.00044274905951652066,0.0003566602154422241,0.00015572553579055364,7.102815840229273e-05,0.00046306978535361047,0.0006927907479752,0.00012409479962603384,8.98167420394727e-05,0.0005986429312961902,0.00010607505714503358,9.643985931692582e-05,0.0006206202071176078,9.653612984923392e-05,-7.478610703452755e-05,0.000624256102708158,0.00014531948817790512,-3.505914488728663e-06,0.0005621307063400101,0.0001459606647600979,-0.00016313534735768763,0.0004888402227619403,6.631711014308154e-05,8.829309529967538e-05,0.0003829305749343015,0.00013347265410213466,9.558810607471483e-05,0.0004792131377954588,2.083192960047854e-05
"(0.08, 0.1)",-8.038854353832191e-05,,0.0002032717169726138,0.00019824555332261423,0.00019093732733961206,0.00020741297629091503,-0.0004024956998598537,0.00021379966613522224,0.0007368719561105014,0.0006406558014916254,7.32347157879068e-05,0.0010644966031801916,0.0006750865669776481,,,0.00031237003256544174,0.000370162862403899,0.0005624200958246667,0.000594361170926284,0.00016046227535531176,0.00015417663454030738,0.00015129010492592672,0.0001518965843939617,0.0005145836742997463,0.0001223963345156181,0.00019518616093358276,0.0005872546771313724,0.00015656295291366517,8.977038054433665e-05,0.0004130115298537326,0.00013573142209766635,-0.00024820921800426855,0.0003422094726007835,6.604108939041987e-05,-0.00012632531731266399,0.0004760801467518027,7.87935726185576e-05,9.938758943420381e-05,0.0005491489321778328,8.493267338672163e-05,-8.820128711560189e-05,0.0006430734863389562,6.6772738361109935e-06,7.373647547815937e-05,0.000530480898527389,4.607094570722745e-06
"(0.1, 0.12)",7.618308315436444e-07,,0.0004725284458693346,0.0004773982239108457,0.0004952535433586542,0.00045601300010974914,-0.00019715977928803235,0.00046712740229894894,0.0005306458455446816,0.0007002317680529953,0.00126109943773949,0.0008909068524309159,0.000361709921626575,,,0.00026118149985001395,0.001095099461868131,0.000749863570492988,0.000516873986410976,0.00018503600317782407,0.0002224434630689655,0.00019881035780311507,0.0001206710824141969,0.000620102192224792,0.00021365610489227296,1.874910194061901e-05,0.0006039913321689608,0.00014591164584552382,6.993229340220248e-05,0.0008673419066103817,0.00020641010598532097,4.127948573667487e-05,0.0006802810200999791,9.862044188344112e-05,-8.574246123009452e-05,0.0005908388330972217,8.758983627308154e-05,-1.2457013083711135e-05,0.0004179968109791967,-5.991758822762286e-05,-2.542623434242007e-05,0.00036090139425269425,4.939935598088326e-05,4.45254384501394e-05,0.0003517076853834395,0.00011735194093000695
"(0.12, 0.14)",-4.5678842470061444e-05,,0.000447680703649212,0.00044089486272441615,0.0004218680727114782,0.0004437496565581856,-0.00024363689073968065,-0.0002948844692573138,0.0005809590653490922,0.0005859114619366291,0.0006305792685319896,0.0013988990252376695,0.0003889683469023587,,,0.0004216358789900262,0.0005281296100401598,0.0007024649656084579,0.0004924722722003242,5.583770384330615e-05,0.0001594541998800994,0.000278630862210868,0.00023862072131442983,0.00046972027846327855,0.00020089375417436397,2.2795491143244995e-05,0.0005200148827576737,0.0001842604125923892,-7.986777070938681e-05,0.00032281529984728264,0.00012586549703750115,9.126236499218198e-05,0.0005984776589656776,8.908163943733389e-05,0.0002676487191216659,0.0005341704023834457,2.462554499458368e-05,0.0001183007828733837,0.0005858028895409466,0.0001307181112109322,0.00021671017459437642,0.000576943205393537,0.00016866961150639888,0.00023889833101926343,0.000553220602417752,0.00013818097828632823
"(0.14, 0.16)",-0.0004350336811700905,,0.00040432787073981614,0.0003674761429737614,0.000435253353085843,0.0003702477645546935,-0.00010926814293496126,0.0004941524088568464,0.0005098394498001485,0.00041269006272957377,0.00046346599907309306,0.0006302515344622581,0.00023028656802429634,,,0.00022085334409092082,0.0005285645951065721,0.00041439069306361257,0.0005078198137153902,0.00016630197200050918,0.00021039502348689333,0.0001338759532562157,0.0001077090246252794,0.0005764430587831083,0.00016267021522421645,1.6425056500539354e-05,0.000289304524772664,0.0002904980272170445,7.694972675600918e-05,0.0004615161733588923,4.645487629400227e-05,-9.214685286895701e-06,0.00022089635991149866,0.00011425184301746584,0.0001229360625491783,0.0004594828817550837,0.0001437796720187201,0.000106731033707037,0.00045854326720470525,0.0002036958103392364,4.210259670777519e-05,0.0004419099102971663,4.15317944873129e-05,0.00011149807993896882,0.0005533330941102485,8.632447582931315e-05
"(0.16, 0.18)",0.00011082724353686464,,0.0004226491757922036,0.0004758240108330408,0.0004338454725625859,0.0004287632181258599,4.976287424135198e-05,-0.0003519402567432728,0.00038937675563513365,0.0005592583111312785,0.000588837931793297,0.0003530347846196664,0.0004619327801260875,,,0.00039776796798430614,0.0006026522863366914,0.0005244053565744218,0.0005923415813128708,0.00038401772153470596,0.00021979551025962964,0.000245553875859185,0.00017684508152722995,0.00045617740715583384,0.0003077731014440522,0.00016595458925418885,0.0004880196667394384,0.00012462234234982225,1.9969812062046233e-05,0.0004279863932871549,0.00020909841018278342,-4.9973604151000024e-05,0.0004921901710893071,0.00017822782787416214,1.6136722220302e-05,0.0003119950053847071,0.0001816616090445858,0.00010885048740672219,0.000302807092070994,0.00019721150081696682,8.80054022858164e-05,0.0004077106693469981,0.00014844754753045987,0.00016001101255150177,0.0003092594787971321,0.00018622966979173856
"(0.18, 0.2)",0.00033564307786650935,,0.00022713380628429798,0.0002115826990491538,0.0002021318122382823,0.0002968190116957568,-7.070746106607025e-05,-0.00012748979065284682,0.0005578538301190492,0.0006145484930158121,0.000287648222681095,0.0005387957894371834,0.00012119627406067374,,,0.0006234105085744848,0.00029573137148739356,0.0005712542097581464,0.0004376599149128064,0.0002182020091925822,0.00025235873272342246,0.0002969554243146067,7.489161324698024e-05,0.0003408145793621023,0.0002690230937511508,9.044753748445879e-05,0.0003344218777999205,0.0002170881663761508,0.000208636946594396,0.00031903093545058373,0.0001783031406260907,9.763279498002242e-05,0.00023989447719073746,0.0002497076288012557,0.0001414176048045736,0.0002698687635629345,0.00020842175095439345,-7.26433844320389e-06,0.00042013464680798436,0.00013586880759349775,-1.757564698460596e-05,0.0004060755476233413,9.37329663744753e-05,2.8587206402900484e-05,0.0004121630534154828,0.00014424606206012757
